text,label
F:The system shall display Events or Activities.,functional
F: The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,functional
F:The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,functional
F:The table side of the display shall be split into 2 regions: sequential and temporal.,functional
F:The top 1/4 of the table will hold events that are to occur sequentially.,functional
F:The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,functional
F:The system shall color code events according to their variance from current time.,functional
F:The system shall provide a history report of changes made to the Activity or Event data,functional
LF:The look and feel of the system shall conform to the user interface standards of the smart device.,functional
LF: The user interface shall have standard menus  buttons for navigation,functional
F:The system shall update or create new property listings in the MLS,functional
F:Realtor shall be able to generate a CMA report based on property criteria,functional
F:Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,functional
F: Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,functional
F:Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,functional
F:A class shall be either a non-clinical class or a clinical class.,functional
F: A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,functional
F: A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,functional
F:Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,functional
F:A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,functional
F:Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,functional
F:The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members� planning purposes.,functional
F: The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,functional
F:Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,functional
F:Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,functional
F: Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,functional
F:Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,functional
F: A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,functional
F:Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,functional
F:The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,functional
F:The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,functional
F:Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,functional
F:A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,functional
F: A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,functional
F: The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,functional
F: The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,functional
F: The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,functional
F: The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,functional
F:The system shall be able to display a printable summary of the system log.,functional
F: The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,functional
F: The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort�s program of study and changes to a given week�s schedule (lab cancelled this week due to instructor illness).,functional
F: The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student�s status from full time to part time and moving a student to a different clinical section.,functional
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,functional
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study.,functional
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,functional
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,functional
F: Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,functional
LF:The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,functional
LF:All screens created as part of the Disputes application must comply with corporate standards for interface creation.,functional
US:The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,functional
US:100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,functional
US:100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,functional
US:100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,functional
O:The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,functional
O:The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,functional
O:The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,functional
O:The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant�s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,functional
SE:The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,functional
SE:Only users with Update access must be able to initiate dispute requests.,functional
SE:The Disputes application shall ensure that only authorized users are allowed to logon to the application.,functional
SE: All authorized users  once authenticated must be able to logon to the Disputes System,functional
SE:The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user�s access level.  The report will be reviewed for auditing purposes.,functional
SE:All additions of new users and modifications to users access shall be recorded on the User Report.,functional
SE: If a user account is revoked  it can only be re-instantiated by the System Administrator.,functional
SE:Only the System Administrator shall be able to reset a revoked user logon account,functional
SE:The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,functional
SE:All updates to data files or database must be initiated from the Disputes System.,functional
L:The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,functional
L:All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,functional
L:The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,functional
PE:The system shall refresh the display every 60 seconds.,non-functional
LF:The application shall match the color of the schema set forth by Department of Homeland Security,non-functional
US: If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,non-functional
A: The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,non-functional
US: If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,non-functional
SE:The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,non-functional
US:The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,non-functional
PE:The product shall respond fast to keep up-to-date data in the display.,non-functional
F:The system shall have a MDI form that allows for the viewing of the graph and the data table.,non-functional
F:The system shall display Events in a vertical table by time.,non-functional
F:The system shall display the Events in a graph by time.,non-functional
L:All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,non-functional
L:The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,non-functional
L:All actions that modify an existing dispute case must be recorded in the case history.,non-functional
F:The Disputes System must be accessible by both internal and external users.,non-functional
F:The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,non-functional
F:The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,non-functional
F:The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,non-functional
F:The Disputes System shall provide view access capability for authorized users of the application.,non-functional
F:The Disputes System shall provide update access capability for authorized users of the application.,non-functional
F:The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,non-functional
F:The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,non-functional
F:The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,non-functional
F:The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,non-functional
F:The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,non-functional
F: The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,non-functional
F:The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,non-functional
F: The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,non-functional
F:The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,non-functional
F: The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,non-functional
F:The Disputes System must provide the ability to view existing dispute cases.,non-functional
F: The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,non-functional
F:A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,non-functional
F:The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,non-functional
F:The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,non-functional
F: The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,non-functional
F: For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,non-functional
F:All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,non-functional
F:Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,non-functional
O:The product must support Internet Explorer 5.5 and above.,non-functional
O:The product must support Mozilla Firefox 1.0 and above.,non-functional
O:The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,non-functional
O:The product shall run on the existing hardware for all environments.,non-functional
O:The product shall adhere to the corporate Architecture guidelines,non-functional
LF:The product shall comply with corporate User Interface Guidelines,non-functional
LF:The product shall comply with corporate color scheme,non-functional
LF:The appearance of the product shall appear professional,non-functional
PO:The software product is expected to run on Windows or Linux platforms.,non-functional
US:The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,non-functional
US:The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,non-functional
US:Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,non-functional
US:The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,non-functional
US:The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,non-functional
PE:The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,non-functional
PE:The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,non-functional
PE:The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,non-functional
PE:The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,non-functional
A:The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,non-functional
A:The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,non-functional
SC:The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,non-functional
SC: The average number of recycled parts records per day shall be 50 000.,non-functional
SC: The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,non-functional
O: For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,non-functional
O:The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,non-functional
O:The maintenance of the product will fall within the established corporate maintenance windows.,non-functional
O:The product shall be supported using the corporate support center.,non-functional
O:Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,non-functional
SE:Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,non-functional
SE:Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,non-functional
SE:Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,non-functional
SE:Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,non-functional
SE:One insurance company shall not be able to view another insurance companys claim data.,non-functional
SE:The product shall free of computer viruses.,non-functional
SE:The system shall prevent malicious attacks including denial of service.,non-functional
L:The product must comply with Sarbanes-Oxley.,non-functional
L:The product shall comply with the estimatics laws relating to recycled parts usage.,non-functional
L:The product shall comply with insurance regulations regarding claims processing.,non-functional
F: The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,non-functional
F: The vehicle data shall include vehicle year  make  and model,non-functional
F: The vehicle location shall include street address  city  state  and zipcode,non-functional
F: The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,non-functional
F:The search radius shall be between 1 and 30 miles,non-functional
F:The system shall locate the preferred repair facility with the highest ratings for the input criteria,non-functional
F:The adjuster shall enter the preferred repair facility on the estimate assignment.,non-functional
F:The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,non-functional
F:The preferred repair facility shall be returned to the user.,non-functional
F:The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,non-functional
F:The estimator shall search for available recycled parts using damaged vehicle parts information.,non-functional
F:The estimator shall search for available recycled parts using a list of preferred parts suppliers.,non-functional
F:The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,non-functional
F:The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,non-functional
F:The system shall retain the available recycled parts and suppliers returned from the search.,non-functional
F:The available recycled parts information and their suppliers shall be returned to the user.,non-functional
F:The estimator shall apply selected recycled parts to the collision estimate.,non-functional
F:The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,non-functional
F:The adjuster shall review the collision estimate.,non-functional
F:The adjuster shall request a recycled parts audit of the collision estimate.,non-functional
F:The recycled parts search results provided to the estimator shall be retrieved by the system.,non-functional
F:The system shall generate an audit report based on the available recycled parts and the collision estimate.,non-functional
F:The audit report shall include the total number of recycled parts used in the estimate.,non-functional
F:The audit report shall include the number of available recycled parts from the original search results.,non-functional
F: The audit report shall include the percentage of available recycled parts used in the estimate,non-functional
F:The audit report shall include the total score of the audit which sums the indivual line items.,non-functional
F:The audit report shall be displayed to the user.,non-functional
F:The audit report shall be available to other adjusters at later points in time.,non-functional
F:The user shall select to view the preferred repair facility ratings.,non-functional
F:The current repair facility ratings shall be displayed to the user.,non-functional
F:The system will display a blank set of ratings if there are not ratings yet defined.,non-functional
F:The user shall enter new ratings based on the audit report,non-functional
F:The ratings shall be from a scale of 1-10,non-functional
F:The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,non-functional
F:The user shall select to save the preferred repair facility ratings.,non-functional
F:The preferred repair facility ratings shall be saved by the system.,non-functional
O: The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,non-functional
O:The product will function alongside server software on any operating system where the Java runtime can be installed.,non-functional
O:The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,non-functional
O: The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,non-functional
O: A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,non-functional
LF: The product�s Look and Feel shall be able to incorporate aspects of the customer�s organization such as logo  branding  and identity,non-functional
LF:The product shall have a conservative and professional appearance.,non-functional
US:The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,non-functional
US:The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,non-functional
US:The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,non-functional
US:The product shall allow the user to select a chosen language from one of the target market countries.,non-functional
US:The product shall allow for customization of start page and views preferences.,non-functional
US: An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,non-functional
US:The product shall use a standard navigation menu familiar to most web users.,non-functional
US:The product shall allow for intuitive searching of available conference rooms.,non-functional
US:The product shall conform to the Americans with Disabilities Act.,non-functional
PE:The response shall be fast enough to avoid interrupting the user�s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,non-functional
A: Aside from server failure  the software product shall achieve 99.99% up time.,non-functional
FT:The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,non-functional
SC: The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,non-functional
SC: The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,non-functional
SC:The product shall be expected to operate for at least 5 years for each customer installation.,non-functional
O:The product shall be used in office environments.,non-functional
O:The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,non-functional
O:The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,non-functional
O:The product must be able to interface with various email servers. The product shall be able to send email.,non-functional
O:The product shall be available for distribution via the Internet as a binary or ZIP file.,non-functional
O:The product shall be available for distribution as a packaged CD.,non-functional
O: The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,non-functional
US:A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,non-functional
MN:The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,non-functional
MN:The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product�s software code.,non-functional
MN:Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,non-functional
US:Every registered user will have access to the product�s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,non-functional
MN:The customer shall be able to easily integrate new building maps with the product throughout the product�s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,non-functional
US: The product shall be translated into foreign languages other than the target market countries� languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.,non-functional
O: The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,non-functional
O:The product shall be able to be installed in any operating environment within 2 days.,non-functional
SE:The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,non-functional
SE:Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,non-functional
SE:The product shall ensure that the database�s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,non-functional
SE:The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems� data shall remain 100% uncorrupted each time malicious data is input into the product.,non-functional
FT:The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,non-functional
SE:The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,non-functional
SC:The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,non-functional
US:The product shall be able to display calendar dates and times according to the user�s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,non-functional
O:The product must be developed with the J2SE/J2EE programming language libraries,non-functional
F:The product shall record meeting entries.,non-functional
F:The product will notify employees of meeting invitations.,non-functional
F:The product shall have the ability to send meeting reminders to employees.,non-functional
F:The product shall assign the organizers contact information to each meeting they create.,non-functional
F:The product will record meeting acknowledgements.,non-functional
F:The product shall store new conference rooms.,non-functional
F:The product shall update existing conference rooms.,non-functional
F:The product will be able to delete conference rooms.,non-functional
F:The product shall be able to store new room equipment.,non-functional
F:The product will update existing room equipment.,non-functional
F:The product shall be able to delete room equipment.,non-functional
F:The product shall allow an organizer to invite other employees to meetings.,non-functional
F: Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,non-functional
F:The product shall record the transportation status of equipment reserved.,non-functional
F:The product shall display a map of the company building showing conference room locations.,non-functional
F:The product shall record updated meeting agendas.,non-functional
F:The product shall send a meeting confirmation to the meeting organizer.,non-functional
F:The product shall display room equipment according to search parameters.,non-functional
F:The product shall display conference rooms according to search parameters.,non-functional
F:The product shall record different meeting types.,non-functional
F:The product shall record all the equipment that has been reserved.,non-functional
F:The product shall notify building personnel of equipment transport requests.,non-functional
F:The product will allow priviledged users to view meeting schedules in multiple reporting views.,non-functional
F:The product shall be able to send meeting notifications via different kinds of end-user specified methods.,non-functional
F:The product shall have a customizable Look and Feel.,non-functional
F:The product shall have an intuitive user interface.,non-functional
F:The product will display an available status for unreserved conference rooms.,non-functional
PE:Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,non-functional
PE:The System shall allow for a minimum of  6 users to work at the same time.,non-functional
O:The System shall utilize currently owned computer equipment.,non-functional
O:The System shall be able to automatically backup business data and restore them on demand.,non-functional
SE:The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,non-functional
SE:The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,non-functional
L:The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,non-functional
O:The System shall not require additional third party licenses resulting in royalty fees.,non-functional
F:The System shall allow generation of Inventory Quantity Adjustment documents on demand.,non-functional
F:The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,non-functional
F:The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,non-functional
F: The System shall allow entering  storing and modifying product formulas.,non-functional
F: Product formulas shall allow use of semi-products  which have own formulas.,non-functional
F:Product formula ingredients shall allow defining substitutionary ingredients.,non-functional
F:Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,non-functional
F:Formula substitutionary ingredients shall be kept in persisted order,non-functional
F: Product shall allow entering  storing and modifying product menus used by POS terminals.,non-functional
F:PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,non-functional
F:PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,non-functional
F:PME Subsystem shall allow for a product to exist in more than one submenu,non-functional
F:The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,non-functional
F:The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,non-functional
F:The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,non-functional
PE:Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,non-functional
PE: Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,non-functional
PE:System shall let customers register on the website as a �pay as you go� user in under 5 minutes.,non-functional
PE:System shall let customers register on the website as a �unlimited movie subscriber� user in under 10 minutes.,non-functional
PE:System shall let existing customers log into the website with their email address and password in under 5 seconds.,non-functional
PE: System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,non-functional
PE:System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,non-functional
PE:System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,non-functional
PE:System shall let the administrator add/remove categories on the website in under 5 minutes.,non-functional
PE:System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,non-functional
PE:System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,non-functional
LF:The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,non-functional
LF: The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,non-functional
LF: The website design should be modern  clean  and concise.,non-functional
US:The product should be able to be used by 90% of novice users on the Internet.,non-functional
US: Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,non-functional
US:Users should be able to access their streaming movies in under 2 clicks after logging into the website.,non-functional
US:An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,non-functional
US:An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,non-functional
